spu_code	status
PTO_01CT	4
PTO_01CL	2
POU_0196	2
PTO_016K	2
PTO_00N5	2
PTO_00NF	2
PTO_00T6	2
PHO_01PS	2
PTO_014W	2
PEL_009D	0
PTO_00LG	2
PTO_00HZ	2
PEL_005H	2
PTO_009V	2
PH21221LEG6K	0
PH21227STDVI	0
PUSHBB2E3Q1I	2
PTO_000B	2
PTO_007C	2
PH45343A3025	2
PH2122O3BB44	2
PH212286Y1R7	2
PH212273N09F	0
TO2122M5605R	2
PTO_06YH	2
PTO_06YB	2
ST2122A854Y6	2
PTO_071E	2
PTO_06YF	2
PTO_06YN	4
PBY_0BCA	2
PTO_049E	2
PBY_08LC	2
PTO_03AN	2
PEL_02PY	2
PTO_03H8	2
PTO_03J3	2
PEL_03I3	2
PEL_040A	2
PHO_07IZ	2
PTO_02UV	0
PEL_01AF	2
PHO_02TO	4
PEL_07OI	2
PTO_073O	2
TO21220920R7	2
PEL_008C	2
PEL_07OH	2
PEL_07H3	2
PTO_066G	2
PTO_05NL	2
PBY_0C38	2
PBY_0ASF	2
PBY_0AZ8	2
PBY_0B0J	2
PTO_05FB	2
PTO_05FI	2
PTO_058G	2
PBY_0AHE	2
PTO_0535	2
FQ1TO_FN8C9	2
PTO_04YH	2
PTO_0400	0
PTO_042M	0
FQ1TO_EZCMV	2
PHO_08IO	2
PTO_04UC	2
PEL_0389	2
PTO_03L7	0
PEL_036Y	2
PTO_03GZ	0
PTO_03G5	2
PTO_03NR	2
PBY_08L5	2
PTO_03V3	0
PTO_03VZ	0
PTO_03ZE	0
PTO_02RN	2
PTO_02MM	2
PTO_02FG	2
PEL_010D	2
PTO_02A3	2
PTO_02WP	2
PTO_02YE	2
PTO_031V	0
PEL_02RQ	2
PEL_02S6	2
PHO_00SD	2
PTO_00UT	2
PTO_00VQ	2
PTO_00XL	0
PEL_00J4	2
PTO_01YY	2
PEL_00PY	2
PBY_03LC	2
PHO_02IA	2
PHO_01V0	2
PBY_06F2	2
PTO_02JP	2
PTO_02NJ	0
PEL_01DJ	2
PEL_0221	2
PEL_03OI	2
PBY_08LE	2
PEL_031W	2
PBY_07LD	2
PTO_0453	2
FQ1TO_M9RWT	2
PTO_05L8	2
PHO_081Y	2
PTO_05MJ	2
PTO_01EJ	0
PTO_00X2	2
PTO_00WT	2
PTO_00BN	2
PEL_07HJ	2
PTO_03DD	2
PTO_03KV	2
PTO_04JZ	2
PTO_00EU	2
L00JJBBQSJ50	2
PEL_063J	2
PEL_04CQ	2
PEL_03N7	2
PEL_03AL	2
PHO_05TU	2
PTO_05U4	2
ST1070GD9169	2
HO1070Y056A2	2
PH2122638EK1	2
PHO_005W	2
PHO_008Q	2
PTO_01XH	2
PBY_04VI	2
PTO_02C1	2
PBY_07RV	2
ST1070KC8TF6	2
PBY_0AYK	2
ST2122RXEF9J	2
PTO_03EO	2
PBY_08XA	2
PUSH1KH73NZ1	2
TO2122S3KKGQ	2
PH1070SK0LS8	2
PH21225QD4OT	2
PTO_00BF	2
PTO_02S7	2
PTO_01EU	2
PEL_00MC	2
PBY_01PV	2
PHO_018A	2
PTO_037F	2
PEL_05JD	0
PEL_06AG	4
PEL_06NR	2
PEL_0850	2
PHO_06UM	2
PTO_03MN	2
PHO_04IZ	2
PTO_02IO	2
PBY_049E	2
PTO_0191	2
PHO_05SF	2
PTO_03EB	2
PEL_047U	2
TO21227P6CJ6	2
PHO_01XQ	2
PBY_00QT	2
PTO_00EC	2
TO21223TGU7R	2
PTO_026C	2
PHO_03UW	2
PTO_02H0	0
PHO_05NE	2
PHO_06ZX	2
PBY_0GW6	2
EL6131QP4OEP	2
PTO_0596	2
PHO_08CK	2
PTO_047F	2
PBE_02IU	2
PBY_0AUN	2
PEL_08KX	2
PEL_0547	2
PHO_046U	2
PHO_069C	0
PHO_08DE	2
PEL_07V9	2
PEL_08GJ	2
PBY_0ANM	2
PHO_01AM	2
POU_02PT	2
PBY_0D3Q	2
ST10705784X2	2
PBY_0DLB	2
PEL_03K2	2
POU_00UG	2
PBY_0DJM	2
PBE_02WA	2
PHO_0AEY	2
PBE_033U	2
PAU_01LK	2
PBY_072P	2
POU_00Z0	2
POU_02VC	2
PUSH51L7891Q	2
PBY_0DR0	2
PEL_04DF	2
PBY_07MW	2
POU_02MD	2
POU_029S	2
PHO_07ZD	4
PHO_00HX	2
PEL_02Q1	2
PEL_055L	2
PHO_09AZ	2
PBY_0GK6	2
PBY_069J	4
POU_01RG	2
PBY_0AMH	2
POU_007O	2
PTO_038D	0
PBY_07Y8	2
PBY_0DOA	2
PHO_04NJ	2
PTO_03E2	2
OU4534D4PDTB	2
PBY_04BE	2
PHO_0BDN	2
PBE_031A	2
PAU_022R	2
PHO_04J9	2
PTO_07BO	2
PHO_044Y	2
POU_01S3	2
PH4534152XP2	2
PEL_0AC0	2
PHO_0BL1	2
PEL_095X	2
PBE_0335	4
PHO_03XW	2
PBY_04C9	2
PBY_0DTS	2
PBY_0GVY	0
PHO_09S6	2
PBE_02R7	2
PEL_04LD	2
PEL_031T	2
PEL_04QS	4
PHO_079K	2
PBY_0FE5	2
PEL_0AQI	2
POU_02PY	2
PEL_013E	2
PTO_06GQ	2
POU_02G3	2
PEL_09YK	2
PBY_01MV	2
PAU_051N	2
PBY_0DQZ	2
PHO_09AY	2
PTO_01WJ	2
PBY_0E39	2
PEL_09ZS	2
PEL_092H	4
PHO_0764	2
PBY_041D	2
PBE_02WO	2
PHO_0807	2
PBY_0FLL	2
EL6131H5BOQI	2
PBY_0A7E	2
PAU_03KB	2
PBY_0AVU	2
HO107009120O	4
PBE_04Z4	0
ST212283054L	2
PAU_053N	2
POU_00GG	2
PBY_0GVX	0
PBY_0CSM	2
PHO_0CGS	2
POU_01UG	2
PBE_046W	2
PHO_01TC	2
PBE_03KN	2
PBY_08MS	2
PAU_0015	2
PHO_063W	2
PHO_06MZ	2
PBY_0FPB	2
PHO_00O8	2
PBY_00M6	2
PBY_09JG	2
POU_03H2	2
PBY_0A6F	2
PEL_06DA	2
POU_004O	2
PHO_01M1	2
PEL_00C2	2
PAU_033P	4
PST_00LH	0
HO10703835EF	2
PUSHV1KVPV92	2
PTO_01OL	2
PBY_088U	2
PBY_0DIH	2
PBY_0EKS	2
PEL_05HW	2
PEL_075A	2
PBY_07Z3	2
PBE_04VD	2
POU_00BI	2
PEL_00L5	2
POU_01BM	2
PEL_03E4	2
PEL_01CV	2
PHO_07I9	2
PHO_09XN	2
PEL_02ZC	2
PEL_08RX	2
PBY_0BHW	2
POU_0322	0
PTO_02MP	2
POU_02H2	2
PEL_09AC	2
PHO_08NP	2
PHO_05HP	2
PBY_0CYA	2
PBY_0I5O	2
PUSHUAU2CL16	0
PEL_0AAC	2
PEL_0856	2
PEL_01G1	2
PTO_05LU	2
PEL_090I	2
POU_01ZP	2
POU_03R5	2
PBY_0GW5	2
PEL_03XP	4
PHO_00EN	2
PHO_01TD	2
EL6131W0KKJG	2
EL61314K0I7I	2
PHO_07GF	2
BYA483144R2K	2
PHO_06VO	2
PHO_09BP	2
PTO_05IS	2
PTO_023Y	2
EL6131MLTCC8	2
PBE_03V3	2
PBY_0CX1	2
PHO_0A5M	2
PHO_04D4	2
PBY_0DGG	2
FQ1TO_2CZ6X	2
PH4534VVJ5I8	2
PHO_058P	2
PBY_0B15	2
PAU_008G	2
ST2122G33VYJ	2
PBY_0AKD	2
PBY_0899	2
PEL_041Q	2
EL6131298FV9	2
PTO_05Q4	2
PTO_00UE	2
PTO_04TU	2
PAU_020N	2
PEL_04VW	2
PBY_0P1Q	2
PTO_04WQ	2
PEL_08NR	2
PBY_04QJ	2
PBY_0E36	2
PBE_05FO	2
PEL_0095	2
PEL_0474	2
PAU_03PH	2
PBE_01SD	2
PTO_020B	2
PUSHV1R0O734	2
PAU_03MG	2
PH212279845Q	2
POU_03QY	2
PBE_05FP	2
POU_02AA	2
PTO_03K9	2
PEL_0359	2
POU_03NV	2
PHO_0C61	2
PHO_0B9L	2
PBE_03NU	2
PEL_03L0	2
PAU_05Q8	2
PBE_000Y	2
EL6131IGT2U8	4
PBY_0CKK	2
PAU_00MQ	2
PTO_0448	2
POU_01UJ	2
PEL_07XP	2
PHO_0CEI	2
PBY_0BGJ	2
PBY_08EE	2
PBY_0B0K	2
PTO_010Y	2
PTO_052B	2
PEL_07KB	2
POU_03KQ	2
POU_03R6	2
EL613177C3B0	4
PHO_02SX	2
PBE_02F6	2
PBY_07IR	2
PEL_07UX	2
PBE_036X	2
PAU_03VG	2
PHO_02L0	2
PBY_0FLE	2
PHO_0GVT	2
PTO_070K	2
PEL_0C5D	4
PTO_05YR	2
PEL_04FA	2
PEL_08WC	2
PAU_06CX	2
PBY_0ILI	2
PBY_0I7O	2
PBY_0Q4W	2
PBY_0Q4Y	2
PBY_0Q4K	2
PBY_09U8	2
PBY_0Q4L	2
PBY_0Q4U	2
PBY_0Q4T	2
PBY_0Q4S	2
PBY_0Q4Q	2
PBY_0Q4P	2
PBY_0Q5C	2
PBY_0Q5E	2
PBY_0Q4M	2
PBY_0Q4N	2
PBY_0Q4O	2
PBY_0Q5A	2
PBY_0Q58	2
PBY_0Q56	2
PBY_0Q55	2
PBY_0Q54	2
PBY_0Q53	2
PBY_0Q52	2
